pfaf_id,2024040600,2024040606,2024040612,2024040618,2024040700,2024040706,2024040712,2024040718,2024040800,2024040806,2024040812,2024040818,2024040900,2024040906,2024040912,2024040918,2024041000,2024041006,2024041012,2024041018,2024041100,2024041106,2024041112,2024041118,2024041200,2024041206,2024041212,2024041218
743003,0.948,0.948,0.948,0.948,0.948,0.941,0.941,0.932,0.932,0.932,0.905,0.905,0.905,0.905,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.847,0.847,0.847,0.948,0.948,0.948
743004,0.796,0.816,0.816,0.816,0.816,0.764,0.764,0.764,0.764,0.764,0.746,0.746,0.746,0.746,0.694,0.694,0.694,0.626,0.626,0.626,0.626,0.710,0.705,0.690,0.650,0.814,0.814,0.814
743005,0.900,0.901,0.901,0.901,0.901,0.847,0.847,0.847,0.847,0.847,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.819,0.819,0.819,0.819,0.819,0.904,0.904,0.904,0.903,0.903,0.903
743006,0.839,0.839,0.839,0.839,0.839,0.743,0.743,0.743,0.743,0.743,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.839,0.839,0.839,0.839,0.839,0.839
743007,0.781,0.808,0.808,0.808,0.808,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.714,0.714,0.714,0.631,0.631,0.631,0.631,0.631,0.529,0.528,0.405,0.810,0.810,0.810
743008,0.541,0.587,0.587,0.587,0.587,0.501,0.501,0.501,0.501,0.501,0.498,0.498,0.498,0.498,0.425,0.425,0.425,0.324,0.324,0.324,0.324,0.324,0.121,0.121,0.121,0.547,0.547,0.547
743009,0.869,0.871,0.871,0.871,0.871,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.779,0.779,0.779,0.766,0.766,0.766,0.766,0.775,0.770,0.661,0.661,0.863,0.863,0.863
751100,0.749,0.749,0.749,0.749,0.749,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.623,0.623,0.623,0.622,0.622,0.622,0.622,0.622,0.336,0.336,0.336,0.751,0.751,0.751
751201,0.825,0.827,0.827,0.827,0.827,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.824,0.824,0.824,0.826,0.826,0.826
751202,0.563,0.620,0.620,0.620,0.620,0.532,0.532,0.532,0.532,0.532,0.529,0.529,0.529,0.529,0.430,0.430,0.430,0.326,0.326,0.374,0.326,0.674,0.684,0.689,0.123,0.672,0.685,0.667
751203,0.833,0.834,0.834,0.834,0.834,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.727,0.727,0.727,0.725,0.725,0.725,0.725,0.867,0.869,0.871,0.291,0.867,0.876,0.878
751204,0.212,0.133,0.133,0.133,0.133,0.285,0.285,0.285,0.285,0.232,0.174,0.174,0.174,0.312,0.315,0.280,0.455,0.097,0.097,0.097,0.097,0.097,0.071,0.071,0.071,0.179,0.455,0.435
751205,0.335,0.372,0.372,0.372,0.372,0.317,0.317,0.317,0.317,0.296,0.293,0.293,0.293,0.616,0.616,0.616,0.616,0.648,0.392,0.500,0.648,0.651,0.000,0.002,0.002,0.366,0.678,0.676
751206,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.077,0.008,0.003,0.000,0.000,0.000,0.000
751207,0.183,0.093,0.088,0.076,0.141,0.234,0.234,0.234,0.234,0.171,0.171,0.171,0.171,0.244,0.263,0.246,0.324,0.406,0.413,0.420,0.244,0.421,0.021,0.021,0.021,0.109,0.109,0.109
751300,0.759,0.779,0.779,0.779,0.779,0.698,0.698,0.698,0.698,0.698,0.679,0.679,0.679,0.679,0.655,0.655,0.655,0.584,0.584,0.584,0.584,0.584,0.612,0.612,0.612,0.791,0.791,0.791
