aqid,GFMS_TotalArea_km,GFMS_%Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration
114260,0.0,0.0,0.0,0.0,3
114270,0.0,0.0,0.0,0.0,3
114281,0.0,0.0,0.0,0.0,3
114282,0.0,0.0,0.0,0.0,3
114283,0.0,0.0,0.0,0.0,3
114284,0.0,0.0,0.0,0.0,3
114285,0.0,0.0,0.0,0.0,3
114286,0.0,0.0,0.0,0.0,3
114287,0.0,0.0,0.0,0.0,3
114288,385.68032569141957,17.28478850672871,0.3482770323753357,0.46965956687927246,3
114289,192.8750363961789,4.188216546360457,0.04478716850280762,0.04478716850280762,3
114290,3665.0157438116926,16.130126580290945,0.5143634676933289,1.0908706188201904,3
114300,192.9007340414358,31.291077947000968,106.74114990234375,106.74114990234375,3
114410,192.50163159913137,6.681098814492668,0.17996835708618164,0.17996835708618164,3
114411,3085.718851058435,31.01505825862659,36.293357849121094,88.14511108398438,3
114412,0.0,0.0,0.0,0.0,3
114413,2697.5638187763084,20.896771529256636,36.11793518066406,91.671142578125,3
114414,0.0,0.0,0.0,0.0,3
114415,0.0,0.0,0.0,0.0,3
114416,0.0,0.0,0.0,0.0,3
114417,192.55391210435948,42.05969539927164,36.412567138671875,36.412567138671875,3
114418,962.1660840141478,9.011345817426319,0.13335514068603516,0.44422149658203125,3
114419,962.4237838690311,33.34004634612761,24.556550979614258,76.41952514648438,3
114420,4038.4949568943666,26.864227068254486,2.6502685546875,10.798431396484375,3
114430,3076.7699813870036,29.337656294170124,4.234953880310059,18.767120361328125,3
114441,192.41634197576172,13.594609953020745,3.6236305236816406,3.6236305236816406,3
114442,0.0,0.0,0.0,0.0,3
114443,1347.090467113514,6.84674515098506,1.850464940071106,5.024742126464844,3
114444,0.0,0.0,0.0,0.0,3
114445,1345.756357820721,26.006707656626908,1.0084115266799927,1.7181663513183594,3
114446,192.22104863556595,2.6570600270233773,10.851493835449219,10.851493835449219,3
114447,192.18529784808544,7.819126666445017,3.6389522552490234,3.6389522552490234,3
114448,192.14863267184782,1.8402360410121075,1.9761886596679688,1.9761886596679688,3
114449,1727.4252894652145,23.452725738211928,0.6122575402259827,1.6886072158813477,3
114450,192.38608094053438,48.00399253951368,8.709121704101562,8.709121704101562,3
114460,5565.418128998324,22.487264756025745,0.8678281903266907,2.0727996826171875,3
114470,3454.314961768445,15.042340553180386,6.789394855499268,48.98899841308594,3
114480,4985.287186079311,33.19233464414515,1.4456226825714111,8.276840209960938,3
114490,9780.780685512846,51.19224811034475,4.173128604888916,35.82337188720703,3
114500,2700.345040460502,11.320642169246298,69.94684600830078,153.47247314453125,3
114601,0.0,0.0,0.0,0.0,3
114602,1348.8260773628301,14.79998978858665,51.745758056640625,108.74105834960938,3
114603,0.0,0.0,0.0,0.0,3
114604,0.0,0.0,0.0,0.0,3
114605,0.0,0.0,0.0,0.0,3
114606,192.7263795626581,4.042499788939039,0.20149803161621094,0.20149803161621094,3
114607,3851.420509900435,21.218055039059795,0.8415997624397278,2.0922317504882812,3
114608,1539.2078608331012,46.638620435716824,0.5820767879486084,2.315974235534668,3
114609,1154.5860884961612,45.51585341464319,0.5157783031463623,1.4342632293701172,3
114701,2120.698552138116,52.36053543574223,85.8394775390625,132.50799560546875,3
114702,1926.3729683072117,45.02503052641768,4.34111213684082,17.242328643798828,3
114703,2118.423290841371,49.46255339782504,58.095157623291016,170.4046630859375,3
114704,4231.541163927035,59.47373200787121,2.344682455062866,18.901958465576172,3
114705,3461.580567171557,41.93389519897521,14.674540519714355,61.10028076171875,3
114706,192.14863267184782,15.59226545680817,0.7612154483795166,0.7612154483795166,3
114707,576.5916443317368,151.4031500324912,10.283714294433594,15.716346740722656,3
114708,576.6273951192173,45.67262498340366,0.6221030950546265,0.7720241546630859,3
114709,0.0,0.0,0.0,0.0,3
114801,1152.195260613898,23.732831333355126,5.270615100860596,11.211071014404297,3
114802,959.3273794197614,35.996113424473414,2.1465277671813965,6.026977062225342,3
114803,383.86104674119053,52.46060227728502,2.1739883422851562,2.4132919311523438,3
114804,959.1075122612417,34.140189471450284,1.5993528366088867,4.019731521606445,3
114805,766.8747360941973,16.880426470855426,0.6246762275695801,0.9125714302062988,3
114806,0.0,0.0,0.0,0.0,3
114807,0.0,0.0,0.0,0.0,3
114808,0.0,0.0,0.0,0.0,3
114809,0.0,0.0,0.0,0.0,3
114910,6145.196973615672,29.35627957563823,2.279451847076416,18.338623046875,3
114920,2299.413586216512,20.54266648575438,1.6836503744125366,4.906437873840332,3
114931,0.0,0.0,0.0,0.0,3
114932,767.5947373265411,13.52887361531736,0.5863516330718994,1.2936925888061523,3
114933,0.0,0.0,0.0,0.0,3
114934,1149.6202101526337,28.03048603492957,0.8899438381195068,1.4439349174499512,3
114935,575.0541452198574,6.6850172901265825,1.024469017982483,1.9071125984191895,3
114936,191.63739608507277,15.924927793803514,0.032224833965301514,0.032224833965301514,3
114937,191.58886131210156,11.243075295549957,0.1715679168701172,0.1715679168701172,3
114938,574.466260969087,9.493755005900471,0.027201414108276367,0.04015088081359863,3
114939,0.0,0.0,0.0,0.0,3
114940,764.6702408529429,5.041330968794964,0.20798473060131073,0.2258542776107788,3
114950,0.0,0.0,0.0,0.0,3
114960,0.0,0.0,0.0,0.0,3
114970,0.0,0.0,0.0,0.0,3
114980,0.0,0.0,0.0,0.0,3
114990,3252.7289600652202,11.968493562729147,1.3939331769943237,7.546062469482422,3
115101,1537.9040754321268,2.540057580374758,0.8396921157836914,1.9914470911026,3
115102,0.0,0.0,0.0,0.0,3
115103,0.0,0.0,0.0,0.0,3
115201,0.0,0.0,0.0,0.0,3
115202,0.0,0.0,0.0,0.0,3
115203,0.0,0.0,0.0,0.0,3
115204,0.0,0.0,0.0,0.0,3
115205,2314.4444562030385,14.319731208284784,0.3744007647037506,0.5912755727767944,3
115206,0.0,0.0,0.0,0.0,3
