pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
422411,913.979023138,CHN,China,Heilongjiang,1.304828025,0.0
422412,2692.1964401251,CHN,China,Heilongjiang,0.40595053799999997,0.0
422413,4636.52880883417,CHN,China,Heilongjiang,1.565675823,0.0
422414,4511.5893379616,CHN,China,Heilongjiang,0.535023311,0.0
422415,5372.603176691,CHN,China,Heilongjiang,0.928753614,0.0
422416,20744.657328556998,CHN,China,Heilongjiang,4.007990271000001,0.0
422417,2952.1133670334993,CHN,China,Heilongjiang,2.655042215,0.0
422418,10996.527125530003,CHN,China,Heilongjiang,1.6964965859999999,0.0
422419,15.572811576,CHN,China,Heilongjiang,2.7228877060000003,0.0
422421,1846.4660400153002,CHN,China,Heilongjiang,2.224827913,0.0
422422,4075.14338468,CHN,China,Heilongjiang,2.356756917,0.0
422423,9258.468718690001,CHN,China,Heilongjiang,2.7489797339999997,0.0
422424,5234.3069845,CHN,China,Heilongjiang,3.1802392960000003,0.0
422425,762.7046040601,CHN,China,Heilongjiang,3.441598224,0.0
422426,1847.0894415376404,CHN,China,Heilongjiang,2.58116287,0.0
422427,9512.878995099998,CHN,China,Heilongjiang,2.675362143,0.0
422428,2876.82412451,CHN,China,Jilin,0.538254207,0.0
422429,1847.63684765636,CHN,China,Jilin,2.396056295,0.0
422431,4229.272373737,CHN,China,Heilongjiang,1.0200473840000002,0.0
422432,10854.895013213,CHN,China,Heilongjiang,2.142178244,0.0
422433,14212.960803389997,CHN,China,Heilongjiang,1.050907967,0.0
422434,31128.445697695803,CHN,China,Heilongjiang,0.5231279670000001,0.0
422435,33.7262687982,CHN,China,Heilongjiang,2.157512471,0.0
422436,5336.363422143001,CHN,China,Heilongjiang,1.974922249,0.0
422437,8334.96944771,CHN,China,Heilongjiang,1.232251317,0.0
422438,19672.445979060005,CHN,China,Heilongjiang,0.887166879,0.0
422439,4146.68747281,CHN,China,Jilin,0.6954346859999999,0.0
422441,1147.79540912,CHN,China,Heilongjiang,0.381391976,0.0
422442,8825.511393410701,CHN,China,Heilongjiang,0.6799096490000001,0.0
422443,6128.850696849999,CHN,China,Heilongjiang,2.136776955,0.0
422444,10280.2379779215,CHN,China,Heilongjiang,1.0802126159999998,0.0
422445,3662.18555923,CHN,China,Heilongjiang,0.285766827,0.0
422446,1916.5569488,CHN,China,Heilongjiang,0.09656393,0.0
422447,3960.57857935,CHN,China,Heilongjiang,0.273265057,0.0
422448,1216.5249183526,CHN,China,Heilongjiang,0.479906965,0.0
422449,4540.984046685,CHN,China,Heilongjiang,0.290435958,0.0
422450,326.082190439,CHN,China,Heilongjiang,3.1817389489999996,0.0
422461,3124.66299133,CHN,China,Jilin,2.1108828369999997,0.0
422462,18323.090456749997,CHN,China,Jilin,1.665929709,0.0
422463,17323.15442069486,CHN,China,Jilin,3.379391212,0.0
422464,14895.001533240998,CHN,China,Jilin,1.796322112,0.0
422465,1906.158677846,CHN,China,Jilin,1.136450989,0.0
422466,7903.73649449399,CHN,China,Jilin,1.340222106,0.0
422467,3517.05735383,CHN,China,Jilin,2.172944761,0.0
422468,4247.04882477,CHN,China,Jilin,3.5573535960000005,0.0
422469,3028.9769176196,CHN,China,Jilin,2.8513987760000004,0.0
422471,4.96913732406,CHN,China,Jilin,4.096993973,0.0
422472,2093.0661918032597,CHN,China,Jilin,1.08779197,0.0
422473,186.4894646395,CHN,China,Heilongjiang,2.289723865,0.0
422474,36259.6153978302,CHN,China,Jilin,1.449307584,0.0
422475,33.94485095628,CHN,China,Heilongjiang,3.6166031710000004,0.0
422476,104.035721472,CHN,China,Heilongjiang,0.6740947359999999,0.0
422477,361.618177457,CHN,China,Heilongjiang,0.750237203,0.0
422478,101.079548105,CHN,China,Heilongjiang,2.759679537,0.0
422479,340.566983284,CHN,China,Heilongjiang,2.102654027,0.0
422481,135.12466233955,CHN,China,Jilin,1.6657218130000002,0.0
422482,9325.950339312,CHN,China,Nei Mongol,1.677270309,0.0
422483,1134.84045296,CHN,China,Jilin,3.1093116110000003,0.0
422484,1429.6481544230005,CHN,China,Jilin,0.274873054,0.0
422485,1317.84143774,CHN,China,Jilin,2.60196204,0.0
422486,9286.751546924,CHN,China,Nei Mongol,1.288212009,0.0
422487,1689.6142002991,CHN,China,Jilin,2.663898005,0.0
422488,9643.271273011564,CHN,China,Nei Mongol,3.320994523,0.0
422489,8432.95656572,CHN,China,Nei Mongol,3.568474094,0.0
