,continet,country,year,geotype,res,link,imageurl,imagesize
39,Africa,Rep. Congo,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49631,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/COG/cog_ppp_2020_constrained.tif,7.47
40,Africa,R̩union,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49656,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/REU/reu_ppp_2020_constrained.tif,0.37
41,Africa,Rwanda,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49657,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/RWA/rwa_ppp_2020_constrained.tif,4.63
42,Africa,"Saint Helena, Ascens",2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49869,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/SHN/shn_ppp_2020_constrained.tif,26.1
43,Africa,Sao Tome and Princip,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49658,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/STP/stp_ppp_2020_constrained.tif,0.49
44,Africa,Senegal,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49659,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SEN/sen_ppp_2020_constrained.tif,6.45
45,Africa,Seychelles,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49660,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SYC/syc_ppp_2020_constrained.tif,5.67
46,Africa,Sierra Leone,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49661,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SLE/sle_ppp_2020_constrained.tif,2.49
47,Africa,Somalia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49662,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SOM/som_ppp_2020_constrained.tif,16.52
48,Africa,South Africa,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49663,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/ZAF/zaf_ppp_2020_constrained.tif,63.88
49,Africa,South Sudan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49665,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SSD/ssd_ppp_2020_constrained.tif,14.56
50,Africa,Sudan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49666,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/SDN/sdn_ppp_2020_constrained.tif,32.86
51,Africa,Tanzania,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49671,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/TZA/tza_ppp_2020_constrained.tif,42.08
52,Africa,Togo,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49669,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/TGO/tgo_ppp_2020_constrained.tif,4.33
53,Africa,Tunisia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49895,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/TUN/tun_ppp_2020_constrained.tif,5.55
54,Africa,Uganda,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49670,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/UGA/uga_ppp_2020_constrained.tif,23.5
